Accession_ID	Organism	Collection_Date	Location
MN996532	Bat coronavirus RaTG13	29-JAN-2020	Bat coronavirus RaTG13
MT040336.1	Pangolin coronavirus	01-APR-2020	Pangolin coronavirus
MT726045	Sarbecovirus sp.	06-APR-2021	Sarbecovirus sp.
KY352407.1	Severe acute respiratory syndrome-related coronavirus	31-DEC-2018	Severe acute respiratory syndrome-related coronavirus
NC_014470.1	Bat coronavirus BM48-31/BGR/2008	27-AUG-2010	Bat coronavirus BM48-31/BGR/2008
MN908947	Severe acute respiratory syndrome coronavirus 2	12-JAN-2020	Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
MK211374.1	Coronavirus BtRl-BetaCoV/SC2018	30-JUN-2019	Coronavirus BtRl-BetaCoV/SC2018
MK211375.1	Coronavirus BtRs-BetaCoV/YN2018A	30-JUN-2019	Coronavirus BtRs-BetaCoV/YN2018A
MK211376.1	Coronavirus BtRs-BetaCoV/YN2018B	30-JUN-2019	Coronavirus BtRs-BetaCoV/YN2018B
MK211377.1	Coronavirus BtRs-BetaCoV/YN2018C	30-JUN-2019	Coronavirus BtRs-BetaCoV/YN2018C
MK211378.1	Coronavirus BtRs-BetaCoV/YN2018D	30-JUN-2019	Coronavirus BtRs-BetaCoV/YN2018D
KY352407.1	Severe acute respiratory syndrome-related coronavirus	31-DEC-2018	Severe acute respiratory syndrome-related coronavirus
MG772844.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772845.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772846.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772847.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772848.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772849.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772850.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772851.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772852.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772853.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772854.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772855.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772856.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772857.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772858.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772859.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772860.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772861.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772862.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772863.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772864.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772865.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772866.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772867.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772868.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772869.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772870.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772871.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772872.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
MG772873.1	Bat SARS-like coronavirus	28-MAR-2018	Bat SARS-like coronavirus
